peopleNumber,collectionNumber,description,recipeIngredient,step,tip,href,title,typeTitle,difficulty,timeAssume,author,numOfComments,authorOfComments
372266,3095,无,花叶生菜&:1棵$圣女果（双色）&:10个$黄瓜&:1根$白芝麻&:3克$蔓越莓&:适量（可以省略）$日式沙拉汁&:30ml$蜂蜜&:15ml$,* 花叶生菜去根洗净，控干水分。圣女果洗净去蒂。（我选用的蔬菜种类不是很多，可以另外添加豆苗、鸡毛菜之类的来丰富彩色）* 花叶剩菜手撕成方便入口的片状，松散的码在碗底。圣女果对半切开，摆放一部分在生菜叶上。* 黄瓜用刮皮刀从头至尾刮下薄薄的一片。* 把黄瓜片放在容器中，可以用整片的，也可以切一半后再摆放。* 最后撒上白芝麻，白芝麻可以多放一些，会很香，注意：这里用的是熟芝麻。如果想加点风味，可以扔进几颗果干，这个随意* 最后日式沙拉汁 蜂蜜混合，吃之前淋在沙拉中拌匀即可。*,如果买不到日式沙拉汁的童鞋也可以试试，橄榄油 果醋 味淋 鲣鱼汁 蜂蜜，来自行搭配,162695,芝麻蔬菜沙拉,感恩节,无,无,紫色透明,29,"$u24878718198424&:方便保存么？比方说早上做，中午吃，应该也可以的对吧 $u81571245819839&:还好意思用日货，可笑$u80022953241133&:但是国内的这款产品有含转基因食品哦，很爱，却不敢多吃。$u90294187570583&:适合减肥$u91831821934580&:健康美味 $u91831821934580&:真诱人啊 $u5107974489728&:清爽$u87543433678292&:@<a href=""/u/u35255412.html"">卷丫头a</a> 日式沙拉酱什么牌子的好吃？$u86984022974496&:要试试，不错 $u87120035912130&:喜欢$u69384675602054&:减肥啊 $u37570990570585&:看着好清爽啊。 $u29100219358461&:现在好想来一碗。好棒 $u37226293697826&:@<a href='/u/u37226243117033.html' title='天天美食520'>天天美食520</a> 一看就是个会吃的~$u37226243117033&:时鲜的水果蔬菜都可以用来做吧，像什么黄瓜、苦瓜、苦菊、丝瓜、生菜，配点干果什么的也会很好吃！$u37226694114506&:@<a href='/u/u37570209229829.html' title='齐天大圣吃果果'>齐天大圣吃果果</a> 哈哈~好啊$u37570209229829&:@<a href='/u/u37226694114506.html' title='吃货也做饭'>吃货也做饭</a> 好吃告诉我一声$u37226694114506&:哈，要试试自行搭配的沙拉汁~$u37571158970622&:可以多拌些，晚上减肥，配粥吃$u37569343762995&:回去试试，夏天桌上常备一盘，还能促进食欲$u37570696523002&:生菜配的很漂亮！$u37570584201152&:多放点芝麻什么的，香~$u37222550688111&:健康，可做配菜，减肥的时候还可以当主食~哈哈$u372263432200&:还有蜂蜜调味呢~真好啊$u37226391919820&:@<a href='/u/u35255412.html' title='卷丫头a'>卷丫头a</a> 加1$u3757004178034&:@<a href='/u/u37569860207784.html' title='平凡的猪'>平凡的猪</a> 我也觉得这摆盘不赖~$u37569860207784&:造型还很好看呢$u37568840674622&:夏天就喜欢这种清口的菜！$u35255412&:刚好家中有这儿日式沙拉酱，很喜欢这款调料家中常备"
136992,3677,川贝炖雪梨是一道汉族药膳，属于粤菜系。性寒，入肺经，有清热、化痰、止咳的作用。雪梨洗净削皮切开去核掏空，成一个梨盅。梨盅里放入几粒川贝和冰糖，盖上梨盖，用牙签固定。将雪梨放入碗中，加冰糖、蜂蜜、川贝、枸杞，隔水蒸30分钟即可。,梨&:一个$川贝&:10克$蜂蜜&:少许$冰糖&:小粒1个$枸杞&:适量$,* 将梨洗净 分离 掏出梨盒* 用勺子把里面掏出个圆洞 像个碗 把里面的果泥留下* 把川贝拌入 梨的果泥 加入冰糖 蜂蜜 枸杞* 上锅蒸30分钟* 出锅喽* 川贝雪梨*,无,1320932,川贝雪梨,徽菜,无,无,靠谱的蒙奇奇小妖,15,"$u58659965186704&:太难切啦$u1369827967729&:@<a href=""/u/u58549286740501.html"">老本和小茶</a> 不用 梨出点儿水$u58549286740501&:不用放水吗$u60705167322616&:8~9个月的小孩可以吃吗$u1369827967729&:@<a href=""/u/u56540568533937.html"">逐梦x</a> 不削皮$u1369827967729&:@<a href=""/u/u56540568533937.html"">暮雪上的孤星</a> 不削皮$u56540568533937&:要削皮吗？图片上没削啊$u26688210234369&:蜂蜜要是热了 好像没有那个效果了？$u46088457252742&:看起来好想吃哦。$u46088457252742&:看起来好想吃啊！$u1369827967729&:@<a href=""/u/u48529352242123.html"">CWM我想做饭给你吃</a> 倒三角 扎深一点儿$u48529352242123&:怎么切(⊙o⊙)$u1369827967729&:@<a href=""/u/u52252992883682.html"">我是凤凤</a> 药店$u43355197851332&:怎么切的那么美$u52252992883682&:川贝在哪里买？"
42575,1035,无,鸡蛋&:5个$红糖&:180克$低筋面粉&:240克$枣&:200克$泡打粉&:1克$小苏打&:5克$玉米油&:200克$,* 大枣煮十分钟* 把煮好的枣去核，切成块或者捣成泥* 打好鸡蛋* 放入红糖* 再放入枣，搅拌均匀* 放入食用油还有各种粉类，搅拌* 这是拌好的样子，不干也不稠，还可以流动* 垫上油纸，倒入烤盘，因为会升高，所以建议不要超过烤盘一半* 表面撒上芝麻* 放入预热好的烤箱，150度50分钟* 放凉后切块* 开吃*,无,1301687,枣糕,晋菜,切墩(初级),30–60分钟,艾略特^-^,11,"$u66059403199152&:烤了一盘，为什么中间的表面那么软呢？请大师指点$u29515792179182&:太好吃了！以前用其他配方做出来湿乎乎的，这次用了这个，非常成功。不太爱吃甜的，我用的红糖150克，150度烤50分钟好像有点火大，表皮有些发黑了，下次试试时间短一点$u23373090649887&:玉米油能不能加少点？$u55946589440935&:这是多大的烤盘$u51060459312250&:做的相对来说很成功、也很好吃、就是发的感觉没有你的大、怎么回事啊$u51286326566798&:好吃吗$u41380498403767&:这个用多大的烤盘呢亲$u50841854834325&:用那种蜜枣可不可以$u38941960753336&:放烤箱的中层还是底层$u40253499687905&:@<a href=""/u/u42374600446647.html"">time_flies.</a> 不用的$u42374600446647&:鸡蛋不用打发嘛"
11894,106,万圣节要来了。。。,面粉&:220克$白糖&:400克$无糖可可粉&:65克$鸡蛋&:2个$烘焙苏打&:2茶匙$烘焙粉&:1茶匙$盐&:1茶匙$浓咖啡&:235毫升$白脱牛奶 （可用酸奶饮料代替）&:235毫升$植物油&:120毫升$香草精&:1茶匙$,* 预热烤箱至175度。用一点油抹一下直径23厘米的蛋糕圆烤盘。* 在大碗里，把面粉、糖、可可粉、烘焙苏打、烘焙粉和盐混在一起，然后在中间挖开一个洞。* 把鸡蛋、咖啡、白脱牛奶、油和香草精加进去。用打蛋器中速搅打2分钟后，混合物变得有点稀的时候，倒进准备好的蛋糕烤盘里。* 放进175度的烤箱烤30-40分钟，或者直到牙签插进去拔出来没有碎屑为止。然后在室温下放10分钟后脱模，再放在盘子上放凉。最后涂上你喜欢的糖霜即成。*,转自：allrecipes.cn,5703,万圣节的魔法蛋糕,万圣节,配菜(中级),1小时以上,allen,10,$u75353479987526&:有个性$u75353479987526&:哇噻$allen&:@<a href='/u/u18419095.html' title='米琪'>米琪</a> 这个可以裱花枪画一个出来！$u18419095&:那个蜘蛛怎那么弄啊？$allen&:不是很受关注呀！$allen&:[quote]小七 于2009-10-25 14:47:35说：万圣节蛋糕！！太有想象力了[/quote] 那当然！$u56452418&:万圣节蛋糕！！太有想象力了$yxxy28&:蜘蛛很不赖！$allen&:转载自allrecipes.cn，在此一并感谢！$sdsdsnake&:好个性！
40726,989,春卷是春天吃的一种美食，因其里面有许多春天新鲜的蔬菜，会给大家带来清新健康！,卷心菜&:500g$胡萝卜&:500g$香菇&:250g$牡蛎&:500g$五香豆干&:500g$春笋&:500g$盐&:适量$甜辣酱&:适量$贡糖&:适量$海苔碎&:适量$大葱切丝&:适量$春卷皮&:30张$,* 准备好配料，备用。* 将原料卷心菜、胡萝卜、豆干、牡蛎、香菇、春笋分别放锅内翻炒放盘，熟后将这些香喷喷的菜一起倒入锅内翻拌均匀，装入器皿内。* 可以开吃了。将春卷皮摊开放在碟上，放上各种配料。* 将炒熟翻拌均匀的美味菜肴平铺在配料上。* 卷卷卷，让人垂涎欲滴的春卷可以开吃了！大家动*,无,1148209,春卷（闽南特色小吃）,闽菜,掌勺(高级),30~60分钟,豆果15880,4,"$u55177940858720&:神料理、不用油炸$u40390424243950&:可以炸$u2501218338776&:@<a href=""/u/u36887119315507.html"">低调………智慧</a> 不要炸$u36887119315507&:不用炸吗"
36837,1283,《舌尖上的中国2》第一集中介绍了侨乡泉州的古早味萝卜饭，作为一个土生土长的泉州人，从小吃着萝卜饭长大，几乎家家户户都会做，也都有自己的做法！只不过是食材略有不同罢了！今天多妈也来做一个，不放一滴油和酱油，只加了一小勺盐的萝卜饭！,五花肉&:250g$胡萝卜&:一根$干香菇&:10朵$大米&:适量$青葱&:3根$盐、鸡精&:适量$,* 五花肉切成小块* 胡萝卜一根洗净刨成丝；* 若干干香菇开水泡发后切丝；（泡香菇的水不能倒）* 三根青葱洗净切成葱花；（记住葱白和葱叶分开装）； 大米洗净备用。* 干锅放入切好的肉块干煸，转小火，20分钟就能煸出一碗油，倒出半碗油备用；* 这时候肉已经是外酥里嫩，将香菇、胡萝卜、虾米和米都倒入锅里翻炒均匀；（你会发现米饭变成了金黄色，因为炒过的胡萝卜会流出红色的菜汁，变成了天然的染色剂）* 把翻炒均匀的饭盛到电饭煲里面，加入香菇水和凉水，必须完全没过饭，加入一小勺盐，再搅拌均匀一下，就可以开始煲饭了；* 煲饭的空档，把刚刚预留的半碗猪油倒回锅里加热，倒入切好的葱白，煸炒至金黄色，装碗备用；* 最后一步也是至关重要的一步，就是煲好的米饭，趁热把备用葱油和葱花倒入，把整锅米饭搅拌一下就可以吃啦！* 这是成品！超级香的米饭，只要搭配一锅简单的紫菜蛋花汤就很满足了！*,无,966288,【舌尖上的闽南古早味萝卜饭】,闽菜,切墩(初级),10~30分钟,菓铮如此,10,"$u26275271&:@<a href=""/u/u23833963411994.html"">Monica36</a> 一定要猪油$u26275271&:@<a href=""/u/u5301949666709.html"">请你吃鸡巴</a> 刚好$u26275271&:@<a href=""/u/u63571132733507.html"">美食tacy</a> 是的$u63571132733507&:在锅里炒的是生米呀！$u5301949666709&:你拍的相片这个我觉得水是不是放多了$u35120603642695&:看着挺好 $u38186607569237&:还是小时候吃了这个饭的，都过了十年了还记得那个味道$u26275271&:@<a href=""/u/u23833963411994.html"">Monica36</a> 最后再拌葱油，在起锅前$u23833963411994&:真棒。我也是泉州人。我煮的咸饭有个问题，不管我加多少油，煮出来都看不到油，所以不够香。神了个奇$u86984022974496&:看着就好吃的样子 "
34636,733,鱿鱼又到季节了，渔休期一过就能出海捕渔了，给大家上一个小鱿鱼的简单做法。家常菜。,鱿鱼&:500g$尖椒&:200g$盐&:2克$油&:10克$酱油&:5克$花椒粉&:5克$,* 鱿鱼去膛，洗净* 切成略宽一点的条* 尖椒用的是雷辣椒，因为够辣。味好。* 锅内热油，放葱姜蒜炒香，把尖椒，鱿鱼一起倒入锅中翻炒，* 加酱油，盐，继续翻炒至青椒、鱿鱼变色。收汁。* 出锅装盘就可以了，特别简单*,没啥技巧，鱿鱼特别好熟，有好多人怕鱿鱼下水给用水抄一下，其实不用。,1249303,尖椒炒鱿鱼,闽菜,切墩(初级),10-30分钟,原小鲜,2,$u41020195552529&:简单$u40993216910159&:鱿鱼我的最爱 
132590,4210,夏天是吃海鲜的好时候，肥美、新鲜，海鲜的做法很多，但唯有蒸才可以最大程度地保持其原汁原味。海蛏，肉质嫩滑，肥美，能滋阴清热，利尿，夏天吃很适宜。这道插蛏很好的保留了蛏子的原味，蒸出来鲜嫩，口感又肥又弹，做法和用料也极其简单，一起来试试吧！,蛏子&:适量$姜丝&:适量$盐&:适量$,* 蛏子洗净，一个个竖着放入有深度的碗中，排列整齐。* 将少许盐洒在蛏子上，姜丝撒上，不要放水。* 蒸锅里放水烧开后，放入蛏子碗，大火蒸15分钟，关火后焖3～5分钟。* 肥肥嫩嫩！鲜美～* 请开始享用美味吧！~*,碗大量多的话时间稍加长一些，不要正太久，太久肉质会老。,956908,清甜鲜嫩——插海蛏,闽菜,切墩(初级),10-30分钟,兔子爱暖食,44,"$u0937995768166&:方向插错了亲$u42635702670280&:还放盐？！不咸吗$u56641835232282&:很美味$u56641835232282&:好漂亮$u50066559860094&:我这边还放白酒，对女人吃了好$u49675159819272&:明显插错了。两根腿要向下插的$u91070564926204&:@<a href=""/u/u34619415664425.html"">爱做菜的罗奶奶</a>  洗干净就不会的$u34619415664425&:不会有土吗$u33293406641885&:@<a href=""/u/u09372097893435.html"">小厨甜心</a>  你说的对的$u33293406641885&:@<a href=""/u/u91070564926204.html"">兔子爱暖食</a>  我做这道菜一般是头朝上、脚朝下！这样蛏吐沙都吐出来了！如有不对仅供参考$u91070564926204&:@<a href=""/u/u11480578487987.html"">1195871810</a> 看食材分量定的，巴掌大的鱼，十分钟左右$u11480578487987&:一般闽菜海鲜之类蒸菜须几分钟？$u08873093750602&:今天试了试，好好吃。 $u28850608280764&:@<a href=""http://www.douguo.com/u/u91070564926204.html"">兔子爱暖食</a> 是老酒，不是米酒 $u14478970304326&:这个超好吃$u86984022974496&:好漂亮 $u06782698183514&:出后加点料洒$u11882767927573&:学习了，实用 $u10516281921833&:不做点佐料来蘸吗？好美味的说。嘻嘻$u0557276155660&:@<a href=""/u/u91070564926204.html"">兔子在厨房</a>  超级感谢$u91070564926204&:@<a href=""http://www.douguo.com/u/u0557276155660.html"">Xixizhu</a> 蛏子买回来先放在一个干净的盆里，放上清水，再加一点盐，咸度跟平常喝的盐水差不多，静置2小时左右吧，让他吐沙，中间可以换2-3次水，一样也加盐，煮前再反复的搓洗几遍，将壳上的脏东西洗净，就差不多了。 $u0557276155660&:怎么洗啊？$u91070564926204&:@<a href=""http://www.douguo.com/u/u05881157495317.html"">雨下的好难听13</a> 呃~咋会像虫子呢~ $u91070564926204&:@<a href=""http://www.douguo.com/u/u19703666.html"">爱未眠2</a> 还没试过米酒呢，下次试试！ $u19703666&:放米酒比放料酒更鲜，听说是福建莆田这的特色菜$u09372097893435&:对的，图片上的是插反了，应该触角向下。要加入黄酒才香而不腥。$u68717907993752&:我喜欢插在豆腐上$u08894767404969&:比以前烧的好吃多了，很方便，谢谢$u07548777974257&:@<a href=""/u/u91070564926204.html"">兔子在厨房</a>  明白了，谢谢你。$u91070564926204&:@<a href=""/u/u07548777974257.html"">胡同里长大</a>  往上插，往下插，都不影响食用的，只是触角朝下的话，蛏子汁会聚在碗里，味道更鲜$u07548777974257&:楼主插的方法不是触角都朝上吗？那你干什么让我们插的时候触角都朝下啊？到底蛏子是触角朝上还是朝下啊？$u08245991861604&:想问一下，怎么洗才能洗干净？每次吃都好多沙没洗出来！$u08001101978210&:不用放酒？$u05881157495317&:第一次知道这个叫什么名字，一般买蛤蜊，不敢买这个，跟虫子一样，明天买来做给儿子吃$u98222412109072&:竖蛏应该在加点白酒或是加点福建鼓山老酒味道更好$u91070564926204&:@<a href=""/u/u06608669624459.html"">莪的姿态</a>  你是密集恐惧…～$u06608669624459&:不敢吃，好恐怖。$u91070564926204&:@<a href=""http://www.douguo.com/u/u03964701210667.html"">亦口舒</a> 感谢提示！~豆子们，记得触角朝下，这样蛏子肉才能吸收更多的味道~！ $u03964701210667&:昏，都插反了，俩只触角要朝下，这才是正确的，$u07048890970282&:mark 菜鸟级试手$u00926867672321&:@<a href=""/u/u07039787530540.html"">扣菊花</a>  知道$u07039787530540&:@<a href=""/u/u00926867672321.html"">Winnie小妤</a>  放一点点味道会好不要放多$u91070564926204&:@<a href=""http://www.douguo.com/u/u00926867672321.html"">Winnie小妤</a> 也可以放的，蛏子比较寒凉，如果脾胃比较虚寒的话，最好放一些吧，不过我这个版本没放，就放了姜丝，更原汁原味一些，料酒会有酒香味，也不错~ $u00926867672321&:料酒要放一点吗？"
49412,417,我做的这道#干炸小黄鱼#每个吃过的都说不错，方法送大家。,黄花鱼&:6条$葱姜&:适量$盐&:3g$淀粉&:20g$鸡蛋&:1个$胡椒粉&:少许$,* 黄花鱼去腮、内脏，用料酒、盐、胡椒粉、葱姜腌制十分钟；* 淀粉、鸡蛋、花生油调一个脆炸糊，饧五分钟；* 锅内宽油五成热，黄花鱼裹脆炸糊拖入锅内；* 炸至金黄上色即可捞出，控油摆盘上桌享用。*,火候掌握是关键，把握好了一不用复炸二不窝油，色香味美。,1201375,脆炸小黄鱼,闽菜,切墩(初级),10-30分钟,爹地宝贝,0,无
255842,2297,无,猪大骨&:null$大米&:null$香菇&:null$干贝&:null$花生&:null$香葱&:少许$芝麻酱&:少许$水&:适量$,* 大骨洗净，加冷水煮滚，把大骨里面的血水血沫都煮出来。然后把水全部倒掉，重新加开水开始熬煮。我这张图是已经去掉肉以后的骨头啦~* 煮约两三个小时，骨肉已经分离，把骨头上的肉取下来。加少许盐和少许骨汤把肉入味。泉州人称之为脆肉~* 熬煮几个小时之后的骨汤是乳白色的，很香~把骨汤放到锅里，然后加米饭和煮熟的花生下去一起煮。用剩饭的话，要把饭搅开，注意不要粘底或者还是一块一块的。* 把香菇和干贝洗干净以后，加少许糖，加开水浸泡。* 香菇泡软以后，切丝。* 泡出来的香菇干贝水一定不要扔掉哦，加到粥里。很香滴~因为之前已经洗干净了香菇和干贝啦，所以这些水是可以全部利用的* 把脆肉、香葱、香菇、干贝还有香菇干贝水一起加到锅里，搅匀，熬煮。* 少许油爆香一些葱头，做葱头油拌进锅里。* 最后加入芝麻酱，搅匀，起锅。完成！*,用骨汤熬粥很香，也特别有营养哦！吃完嘴边都是黏黏的，因为有满满的骨胶原哈哈！很适合长身体的小朋友，或者需要补充钙质的童鞋们哦~煮粥可以用剩饭或者用生米，生米要稍微煮久一点，我是因为家里剩了一大盆米饭，所以就拿来用啦。咸粥里面的料可以自由发挥，比如加虾米、海蛎干、芋头、皮蛋、排骨什么的。起锅前加芝麻酱是为了提香，加花生酱也是一样的效果的。粥的咸淡就由个人口味调呗~脆肉如果时间掌握刚好的话，吃起来口感是脆脆的，很神奇哟。这估计也是被称之为脆肉的原因吧，哈哈~熬骨汤只要煮开以后转中小火慢慢熬就可以了。,176264,大骨咸粥,闽菜,掌勺(高级),1小时以上,妍宝·,21,"$u07033767768906&:@<a href=""/u/u08097227824966.html"">楷娇爸</a> o$u06679432463500&:赞赞赞，好吃$u96583838878337&:good$u70153097476674&:骨头也留在粥里吗$u43852048965513&:我想做白粥$u08097227824966&:看了想吃$u05830175300580&:不错$u9090700569806&:正好有大骨，明天做！$u81616147441396&:不错的粥$u85038504441819&:赞$u60626505&:女儿喜欢吃咸粥，还可以补钙，改天试试。$woaiwoai&:看着味道就很好$u50772660&:你怎么做的这么好啊，我这个小白只能是学习的命啊$u61905193&:对于小白的我来说，看了你的菜谱我也试试学着做吧。$u62869905&:今天就它了！！$u68403174&:我要做这个了，童鞋们期待我的作业吧 哇哈哈$u70964168&:我要学起来这个，看着真不错。$u98530683&:今天找材料照着这方子走起！$u12211440&:终于找到这个做法了，我要学！$u59997005380345&:@<a href=""/u/u41885112824691.html"">彭凤丹的iphone</a> 做了一次。好好吃呀。$u41885112824691&:看完肚子好饿！中午捣鼓下这粥"
