catesListInfo,catesList,catesListHref
菜系,川菜,http://www.douguo.com/caipu/川菜
菜系,湘菜,http://www.douguo.com/caipu/湘菜
菜系,粤菜,http://www.douguo.com/caipu/粤菜
菜系,鲁菜,http://www.douguo.com/caipu/鲁菜
菜系,东北菜,http://www.douguo.com/caipu/东北菜
菜系,西北菜,http://www.douguo.com/caipu/西北菜
菜系,浙菜,http://www.douguo.com/caipu/浙菜
菜系,苏菜,http://www.douguo.com/caipu/苏菜
菜系,上海菜,http://www.douguo.com/caipu/上海菜
菜系,京菜,http://www.douguo.com/caipu/京菜
菜系,闽菜,http://www.douguo.com/caipu/闽菜
菜系,徽菜,http://www.douguo.com/caipu/徽菜
菜系,晋菜,http://www.douguo.com/caipu/晋菜
菜系,淮扬菜,http://www.douguo.com/caipu/淮扬菜
菜系,清真,http://www.douguo.com/caipu/清真
菜系,客家菜,http://www.douguo.com/caipu/客家菜
菜系,新疆菜,http://www.douguo.com/caipu/新疆菜
菜系,贵州菜,http://www.douguo.com/caipu/贵州菜
菜系,豫菜,http://www.douguo.com/caipu/豫菜
菜系,云南菜,http://www.douguo.com/caipu/云南菜
菜系,鄂菜,http://www.douguo.com/caipu/鄂菜
菜系,赣菜,http://www.douguo.com/caipu/赣菜
菜系,台湾美食,http://www.douguo.com/caipu/台湾美食
菜系,香港美食,http://www.douguo.com/caipu/香港美食
菜系,澳门美食,http://www.douguo.com/caipu/澳门美食
菜系,西餐,http://www.douguo.com/caipu/西餐
菜系,法国菜,http://www.douguo.com/caipu/法国菜
菜系,意大利菜,http://www.douguo.com/caipu/意大利菜
菜系,日本料理,http://www.douguo.com/caipu/日本料理
菜系,韩国料理,http://www.douguo.com/caipu/韩国料理
菜系,泰国菜,http://www.douguo.com/caipu/泰国菜
菜系,东南亚美食,http://www.douguo.com/caipu/东南亚美食
菜系,家常菜,http://www.douguo.com/caipu/家常菜
菜系,天津菜,http://www.douguo.com/caipu/天津菜
烹饪方法,煎,http://www.douguo.com/caipu/煎
烹饪方法,炒,http://www.douguo.com/caipu/炒
烹饪方法,炸,http://www.douguo.com/caipu/炸
烹饪方法,红烧,http://www.douguo.com/caipu/红烧
烹饪方法,煮,http://www.douguo.com/caipu/煮
烹饪方法,蒸,http://www.douguo.com/caipu/蒸
烹饪方法,烧烤,http://www.douguo.com/caipu/烧烤
烹饪方法,焖,http://www.douguo.com/caipu/焖
烹饪方法,炖,http://www.douguo.com/caipu/炖
烹饪方法,拌,http://www.douguo.com/caipu/拌
烹饪方法,烙,http://www.douguo.com/caipu/烙
烹饪方法,腌,http://www.douguo.com/caipu/腌
烹饪方法,焗,http://www.douguo.com/caipu/焗
烹饪方法,卤,http://www.douguo.com/caipu/卤
烹饪方法,榨汁,http://www.douguo.com/caipu/榨汁
烹饪方法,烤,http://www.douguo.com/caipu/烤
烹饪方法,烩,http://www.douguo.com/caipu/烩
烹饪方法,煲,http://www.douguo.com/caipu/煲
烹饪方法,免烤,http://www.douguo.com/caipu/免烤
烹饪方法,干煸,http://www.douguo.com/caipu/干煸
烹饪方法,熏,http://www.douguo.com/caipu/熏
烹饪方法,酱,http://www.douguo.com/caipu/酱
烹饪方法,砂锅,http://www.douguo.com/caipu/砂锅
烹饪方法,干锅,http://www.douguo.com/caipu/干锅
烹饪方法,煨,http://www.douguo.com/caipu/煨
烹饪方法,焯,http://www.douguo.com/caipu/焯
烹饪方法,涮,http://www.douguo.com/caipu/涮
烹饪方法,其他工艺,http://www.douguo.com/caipu/其他工艺
口味,酸,http://www.douguo.com/caipu/酸
口味,甜,http://www.douguo.com/caipu/甜
口味,辣,http://www.douguo.com/caipu/辣
口味,咸,http://www.douguo.com/caipu/咸
口味,香,http://www.douguo.com/caipu/香
口味,苦,http://www.douguo.com/caipu/苦
口味,鲜,http://www.douguo.com/caipu/鲜
口味,咖喱,http://www.douguo.com/caipu/咖喱
口味,麻辣,http://www.douguo.com/caipu/麻辣
口味,孜然,http://www.douguo.com/caipu/孜然
口味,清淡,http://www.douguo.com/caipu/清淡
口味,酸辣,http://www.douguo.com/caipu/酸辣
口味,香辣,http://www.douguo.com/caipu/香辣
口味,酸甜,http://www.douguo.com/caipu/酸甜
口味,香酥,http://www.douguo.com/caipu/香酥
口味,奶香,http://www.douguo.com/caipu/奶香
口味,鱼香,http://www.douguo.com/caipu/鱼香
口味,蒜香,http://www.douguo.com/caipu/蒜香
口味,五香,http://www.douguo.com/caipu/五香
口味,变态辣,http://www.douguo.com/caipu/变态辣
口味,椒盐,http://www.douguo.com/caipu/椒盐
口味,怪味,http://www.douguo.com/caipu/怪味
口味,甜辣,http://www.douguo.com/caipu/甜辣
口味,爽口,http://www.douguo.com/caipu/爽口
口味,微辣,http://www.douguo.com/caipu/微辣
口味,酱香,http://www.douguo.com/caipu/酱香
口味,糟香,http://www.douguo.com/caipu/糟香
口味,葱香,http://www.douguo.com/caipu/葱香
口味,原味,http://www.douguo.com/caipu/原味
口味,蚝香,http://www.douguo.com/caipu/蚝香
口味,剁椒,http://www.douguo.com/caipu/剁椒
口味,超辣,http://www.douguo.com/caipu/超辣
口味,中辣,http://www.douguo.com/caipu/中辣
口味,芝士味,http://www.douguo.com/caipu/芝士味
口味,抹茶味,http://www.douguo.com/caipu/抹茶味
口味,泡椒,http://www.douguo.com/caipu/泡椒
口味,烧烤味,http://www.douguo.com/caipu/烧烤味
口味,咸鲜,http://www.douguo.com/caipu/咸鲜
口味,蜜汁,http://www.douguo.com/caipu/蜜汁
口味,蒜蓉,http://www.douguo.com/caipu/蒜蓉
口味,姜汁味,http://www.douguo.com/caipu/姜汁味
口味,黑椒,http://www.douguo.com/caipu/黑椒
口味,茄汁味,http://www.douguo.com/caipu/茄汁味
口味,红油味,http://www.douguo.com/caipu/红油味
口味,糖醋,http://www.douguo.com/caipu/糖醋
口味,香草味,http://www.douguo.com/caipu/香草味
口味,番茄味,http://www.douguo.com/caipu/番茄味
口味,果味,http://www.douguo.com/caipu/果味
口味,芥末味,http://www.douguo.com/caipu/芥末味
口味,麻酱味,http://www.douguo.com/caipu/麻酱味
口味,豆瓣味,http://www.douguo.com/caipu/豆瓣味
口味,家常味,http://www.douguo.com/caipu/家常味
菜式,下饭菜,http://www.douguo.com/caipu/下饭菜
菜式,甜品,http://www.douguo.com/caipu/甜品
菜式,肉类,http://www.douguo.com/caipu/肉类
菜式,主食,http://www.douguo.com/caipu/主食
菜式,私家菜,http://www.douguo.com/caipu/私家菜
菜式,凉菜,http://www.douguo.com/caipu/凉菜
菜式,烘焙,http://www.douguo.com/caipu/烘焙
菜式,豆制品,http://www.douguo.com/caipu/豆制品
菜式,煲汤,http://www.douguo.com/caipu/煲汤
菜式,酒,http://www.douguo.com/caipu/酒
菜式,海鲜,http://www.douguo.com/caipu/海鲜
菜式,水产,http://www.douguo.com/caipu/水产
菜式,禽类,http://www.douguo.com/caipu/禽类
菜式,蛋类,http://www.douguo.com/caipu/蛋类
菜式,冰品,http://www.douguo.com/caipu/冰品
菜式,饮品,http://www.douguo.com/caipu/饮品
菜式,创意菜,http://www.douguo.com/caipu/创意菜
菜式,下酒菜,http://www.douguo.com/caipu/下酒菜
菜式,冰激凌,http://www.douguo.com/caipu/冰激凌
菜式,小吃,http://www.douguo.com/caipu/小吃
菜式,零食,http://www.douguo.com/caipu/零食
菜式,酱汁佐料,http://www.douguo.com/caipu/酱汁佐料
菜式,果酱,http://www.douguo.com/caipu/果酱
菜式,火锅,http://www.douguo.com/caipu/火锅
菜式,麻辣烫,http://www.douguo.com/caipu/麻辣烫
主食,炒饭,http://www.douguo.com/caipu/炒饭
主食,煲仔饭,http://www.douguo.com/caipu/煲仔饭
主食,盖浇饭,http://www.douguo.com/caipu/盖浇饭
主食,焗饭,http://www.douguo.com/caipu/焗饭
主食,烩饭,http://www.douguo.com/caipu/烩饭
主食,焖饭,http://www.douguo.com/caipu/焖饭
主食,粥,http://www.douguo.com/caipu/粥
主食,寿司,http://www.douguo.com/caipu/寿司
主食,饼,http://www.douguo.com/caipu/饼
主食,炒饼,http://www.douguo.com/caipu/炒饼
主食,意大利面,http://www.douguo.com/caipu/意大利面
主食,披萨,http://www.douguo.com/caipu/披萨
主食,面条,http://www.douguo.com/caipu/面条
主食,炒面,http://www.douguo.com/caipu/炒面
主食,焖面,http://www.douguo.com/caipu/焖面
主食,凉面,http://www.douguo.com/caipu/凉面
主食,拌面,http://www.douguo.com/caipu/拌面
主食,包子,http://www.douguo.com/caipu/包子
主食,馒头,http://www.douguo.com/caipu/馒头
主食,饺子,http://www.douguo.com/caipu/饺子
主食,馄饨,http://www.douguo.com/caipu/馄饨
主食,便当,http://www.douguo.com/caipu/便当
主食,油条,http://www.douguo.com/caipu/油条
主食,花卷,http://www.douguo.com/caipu/花卷
主食,锅贴,http://www.douguo.com/caipu/锅贴
主食,窝头,http://www.douguo.com/caipu/窝头
主食,盒子,http://www.douguo.com/caipu/盒子
主食,发糕,http://www.douguo.com/caipu/发糕
主食,三明治,http://www.douguo.com/caipu/三明治
主食,汉堡,http://www.douguo.com/caipu/汉堡
主食,馕,http://www.douguo.com/caipu/馕
主食,锅盔,http://www.douguo.com/caipu/锅盔
主食,玉米饼,http://www.douguo.com/caipu/玉米饼
主食,卷饼,http://www.douguo.com/caipu/卷饼
主食,河粉,http://www.douguo.com/caipu/河粉
主食,米粉,http://www.douguo.com/caipu/米粉
主食,米线,http://www.douguo.com/caipu/米线
主食,肉夹馍,http://www.douguo.com/caipu/肉夹馍
烘焙,面包,http://www.douguo.com/caipu/面包
烘焙,饼干,http://www.douguo.com/caipu/饼干
烘焙,戚风蛋糕,http://www.douguo.com/caipu/戚风蛋糕
烘焙,泡芙,http://www.douguo.com/caipu/泡芙
